Page,Date,Post Text,Media Type,Likes,Comments,Shares,Media Link
3Dadept,2024-03-07,"[🗣 The January/February edition of hashtag#3DADEPTMag is out!! 🚨🚨] – 📌 LINK in the FIRST comment! 📌 We kick-off hashtag#volume 7 of hashtag#3DADEPTMag with a focus on hashtag#Aerospace and hashtag#Space, two vertical industries driving the growth of hashtag#AdditiveManufacturing (AM) technologies. Today, aerospace companies using AM have clearly understood the value proposition AM can bring to their production activities. The challenge now consists in going beyond their current use of the technology. This January/February edition of hashtag#3DADEPT Mag provides a picture of how AM transforms aircraft design and production. With stories from AM users and insights into related processes, it provides an avenue to explore the various possibilities currently available on the market.✨ Exclusive features ✨✔️ DOSSIER | How does AM transform aircraft design and production today? With contributions from GKN Aerospace’s Sébastien Aknouche & Materialise’s Erik de Zeeuw.✔️ Business | The “fall and rise” of desktop 3D printingAs the industry strives for the hashtag#industrialization of AM, it’s fair to reassess the importance and current place of desktop 3D printing in this journey. CONTEXT’ Chris Connery and Mosaic Manufacturing’s Mitch Debora share insights here.✔️ Post-processing | The use of HIP for critical 3D printed parts: introduction and applicationsWith key insights from Aalberts surface technologies’ Gregory Lane✔️ Materials | Using composites to replace hashtag#metal parts in Additive Manufacturing: when and how?hashtag#Composites benefit from a century of research into the production of components with subtractive techniques. However, when combined with AM, a couple of points need to be considered. Michele Tonizzo from moi composites helped us figure out which ones.✔️ AM Shapers | Agile Space Industries on the use of Additive Manufacturing in in-space propulsion systemsApart from electric hashtag#propulsion systems used for commercial communications satellites, most of the rocket engines in service today are chemical rockets. This type of propulsion system presents several challenges that need to be prioritized to deliver high value for the in-space propulsion market. In its list of priorities, Agile Space Industries discusses the challenges where hashtag#AdditiveManufacturing plays a pivotal role. (Benjamin Graybill & Dustin Crouse)✔️ Interview of the Month with Robert Pohorenec | How 7 decades of expertise in electron beam technology have helped position JEOL USA in the AM marketEvents ✔️ Greg Morris, the AMUG (Additive Manufacturing Users Group) “Innovations Award Winner” on his journey, the adoption of AM across industries and the future of Zeda ✔️ Additive Manufacturing for Aerospace, Defence & Space conference (by Defence iQ)hashtag#additivemanufacturing hashtag#materials hashtag#space hashtag#postprocessing hashtag#business hashtag#desktop hashtag#3dprintingACCESS The Digital Mag Here 👉 https://lnkd.in/edMvcQqH



…see more",Video,17,0,3 reposts,None
3Dadept,2024-03-31,"We can feel the willingness of hashtag#additivemanufacturing companies that want to explore energy management initiatives, to do better to deliver a product that can legitimately be qualified as sustainable. We see the efforts of organizations like Additive Manufacturer Green Trade Association (AMGTA) that should not be overlooked and in the midst of these efforts, we see a strong reliance on hashtag#lifecycleanalysis/life cycle assessments. But, is it enough - especially when we know that since the beginning, because of the hype, we we had started building the ""green"" credentials of AM?Read our answer below 👇 - with insights from Skuld LLC and Foresight Managementhttps://lnkd.in/euDz2hC8 hashtag#sustainability hashtag#technology hashtag#LCA



…see more",Unknown,4,0,2 reposts,None
3Dadept,2024-04-06,"By using hashtag#AdditiveManufacturing to create the 70-pound (31kg) valve assembly, Hunt Valve Company, Inc. will provide the hashtag#Navy with a product that meets or exceeds the quality produced through traditional sand-casting in about two-thirds less time.Mentions: Andy Pfister - Fairbanks Morse Defense https://lnkd.in/eHPJFa4n



…see more",Article,2,0,0,https://3dadept.com/hunt-valve-to-produce-a-3d-printed-valve-assembly-for-u-s-navy-submarines/
3Dadept,2024-04-05,"The application of hashtag#3dprinting in the hashtag#packaging industry is still not very well known. BARALAN plans to spread it with a hashtag#massproduction concept: hashtag#GP3DPrint - Developed in collaboration with Stratasys & ICA GroupMention: Maurizio Ficcadentihttps://lnkd.in/eERhP8hr



…see more",Article,8,0,0,https://3dadept.com/3d-printing-packaging-baralan-unveils-3d-decoration-for-cosmetic-packaging/
3Dadept,2024-04-05,"Beyond the investment of Sodick Co., Ltd. in Prima Additive, the collaboration between the two companies will bring commercial synergies that will allow the promotion and cross-selling of the products of the two brands in the markets of hashtag#Japan, hashtag#Europe and the hashtag#UnitedStates. Read more below 👇hashtag#additivemanufacturing hashtag#investment Mention: Paolo Calefatihttps://lnkd.in/eF3u-aNP



…see more",Article,4,0,0,https://3dadept.com/sodick-acquires-a-minority-share-in-metal-3d-printing-company-prima-additive/
3Dadept,2024-04-05,"During the “Dropcity in-progress” event at hashtag#MilanDesignWeek, WASP will start the renovation works of Tunnel 54, bringing its hashtag#3dprinters on-site and beginning the production of furniture and offices for the renovated spaces. The long-abandoned tunnels will be revitalized and transformed into research centers and open-space offices, promoting values such as sustainable development, open-source sharing, and technological progress.hashtag#architecture hashtag#construction https://lnkd.in/evJviWjj



…see more",Article,6,0,0,https://3dadept.com/wasp-unveils-3d-printed-dropcity-concept/
3Dadept,2024-04-03,"Building upon the growing demand for hashtag#ceramic hashtag#3dprinting at an industrial scale across industries, with the Ceramic 3D Factory, Lithoz ambitions to gather its technology and contract manufacturers all over the world in one global network for interconnected hashtag#serialproduction.hashtag#additivemanufacturing ceramitec Almatishttps://lnkd.in/eNcPdzE7



…see more",Article,20,0,0,https://3dadept.com/lithoz-introduces-ceramic-3d-factory-and-ceracontrol-software-for-serial-production/
3Dadept,2024-04-03,"For Professor Nabil Anwer, CIRP Fellow, Professor at Université Paris-Saclay, Deputy Director of LURPA at École normale supérieure Paris-Saclay, and expert in shape engineering and 3D reconstruction:“ hashtag#Théia addresses two major challenges: on the one hand, reading, understanding and interpreting the information present on the drawing, and on the other, obtaining a 3D shape from its representation on 2D plans, while respecting the geometric and dimensional specifications of the original object. The development of Théia is the result of a harmonious marriage between new developments in AI (deep learning, segmentation, automatic labeling, etc.), mastery of classic computer vision technologies (optical symbol recognition, feature matching) and semantic analysis of technical drawings. This combination makes it possible to identify the various semantic layers of the 2D drawing and thus to interpret the technical drawing in an optimal way for its 3D reconstruction”. Spare Parts 3D - hashtag#3dmodelling hashtag#3dprinting hashtag#DigiPARTTMhttps://lnkd.in/enN6EnCD



…see more",Article,13,0,0,https://3dadept.com/spare-parts-3d-introduces-theia-a-digital-tool-that-can-automatically-create-3d-models-from-2d-technical-drawings/
3Dadept,2024-03-24,"With over 420,000 parts in their international supply chain, and the ability to provide each customer with both an extensive global reach and a local feel, the Würth Group knows what it looks like to have a missing product that needs to be quickly manufactured for a specific location of one’s supply chain.To address this issue for them and thousands of companies facing the same problem, the hashtag#additivemanufacturing division of the company, Würth Additive Group launched hashtag#DigitalInventoryServices (DIS), a new inventory management product that enables the secure transmission of intellectual property to different locations worldwide, ensuring quality assurance checks and controlled distribution. Read more below 👇https://lnkd.in/e4ApQhAA



…see more",Article,6,0,2 reposts,https://3dadept.com/wurth-additive-group-launches-digital-inventory-services-at-amug-2024/
3Dadept,2024-03-24,"If AMUG (Additive Manufacturing Users Group) lives up to its mission to share expertise, best practices, challenges, and application developments in hashtag#AdditiveManufacturing, the moments that truly transformed Kety Sindze’s experience were: the hashtag#keynote speeches, the non-technical hashtag#sessions and the workshops. Here is why 👇she believes that the true magic of AMUG is found in stolen moments.Mentions: Edward Graham (AMUG🦕), Olaf Diegel, Jason Lopes (AMUG🦕), Gentle Giant Studios, John Thiell (Beehive Industries), Sarah Jordan (Skuld LLC), Lisa D. Block ( Hybrid Manufacturing Technologies), Ben DiMarco (The Ohio State University), Shannon VanDeren (AMUG 🦕) ( Layered Manufacturing and Consulting), Paul DeWys ( Forerunner 3D Printing), Chris Beck ( Innovative 3d Manufacturing), Jay Dinsmore (AMUG 🦕) (@Dinsmore, Inc.) and Mike Littrell (@BuildParts by CIDEAS Inc. ), (In memory of Graham Tromans), Todd Grimm https://lnkd.in/eNU8AW3F



…see more",Article,67,0,8 reposts,https://3dadept.com/the-magic-of-amug-is-found-in-stolen-moments/
